model,scope,n_seeds,n_rows,mean_rho_quality_vs_pred_bug_proba,std_rho_quality_vs_pred_bug_proba,mean_p_quality_vs_pred_bug_proba,mean_rho_quality_vs_correct,std_rho_quality_vs_correct,mean_p_quality_vs_correct
RandomForest,all_annotated,30,30335,-0.08714759618325346,0.020801512000353285,0.020398259324629794,-0.02400035399435633,0.03711119156257379,0.38904803617469547
RandomForest,bug_inducing_only,30,22414,-0.06246144584056701,0.02548048189145016,0.1614451466679529,-0.0520606270922395,0.03977174607584719,0.29320535672111614
LogisticRegression,all_annotated,30,30335,-0.021026096108371417,0.029041450295843263,0.456216576159971,0.013007113406815467,0.034498944927678556,0.4473427978372271
LogisticRegression,bug_inducing_only,30,22414,0.010066282729639163,0.0343264365386833,0.4846689464004887,0.01672163199961512,0.0362947542395121,0.482326099523785
