model,reflete_mudanca,n_seeds,n_rows,precision_bug_mean,precision_bug_std,recall_bug_mean,recall_bug_std,f1_bug_mean,f1_bug_std,precision_clean_mean,precision_clean_std,recall_clean_mean,recall_clean_std,f1_clean_mean,f1_clean_std,bug_rate_mean,bug_rate_std,pred_bug_rate_mean,pred_bug_rate_std
RandomForest,Não,29,66,0.8850574712643677,0.31213374815585315,0.7183908045977011,0.3366013853370741,0.774712643678161,0.3093330219125322,0.39655172413793105,0.47016923899856816,0.4482758620689655,0.5061201788784757,0.41379310344827586,0.4768878309247073,0.7586206896551724,0.303211013067697,0.5862068965517241,0.3033238147877703
RandomForest,Provavelmente não,30,872,0.9160190974453324,0.05799340791221456,0.8966002838323026,0.07281109503874189,0.9042600132711365,0.051184714701657266,0.777883597883598,0.15465883981950945,0.8222255522255523,0.13580552953871963,0.7902865644050191,0.11928757903776188,0.6961415006205969,0.07017944361391079,0.6803067860014514,0.06499768526171125
RandomForest,Provavelmente sim,30,13441,0.9264664149601637,0.014245379898329682,0.8940052299027165,0.0175588655062279,0.9098133827041863,0.011608761857501303,0.6782242638984939,0.04609371145442037,0.7588508017433307,0.041377709842183225,0.7152794988338546,0.035207892210431496,0.7730169941320227,0.015257773855375533,0.7459037040435476,0.015950050495249845
RandomForest,Sim,30,15956,0.9205928256073244,0.009770951793095074,0.8580756601097834,0.017976849333485184,0.8881315356718056,0.0113226117539839,0.6991824634052732,0.029312347244045484,0.8160411606470116,0.02551386910410315,0.7527513165604138,0.022841883658514327,0.7126164655631152,0.01314503944435247,0.6642703247812253,0.019032369359389317
LogisticRegression,Não,29,66,0.6149425287356322,0.4298011912959396,0.47988505747126436,0.3724484440284625,0.5057471264367815,0.3518735529466134,0.13793103448275862,0.32449278343664756,0.13793103448275862,0.32449278343664756,0.1264367816091954,0.28748765471697885,0.7586206896551724,0.303211013067697,0.5545977011494252,0.31439967208006175
LogisticRegression,Provavelmente não,30,872,0.9454632867132866,0.05982867453360322,0.5714939760683356,0.11857686721216104,0.7058994250423821,0.09717818030023781,0.4888234806129542,0.1271429626662831,0.9287481962481963,0.07597964745031513,0.6312560547657395,0.10813142578996682,0.6961415006205969,0.07017944361391079,0.41889073808786714,0.07854778804421873
LogisticRegression,Provavelmente sim,30,13441,0.8997705424625356,0.016898602403654865,0.7044787734675161,0.026294189134956125,0.7900169464532726,0.020192717982487462,0.4219351187350959,0.02541352871210837,0.733599387283763,0.03661018648016076,0.5352552517940079,0.02548209568765032,0.7730169941320227,0.015257773855375533,0.6052877596515729,0.024215963243413286
LogisticRegression,Sim,30,15956,0.874403974900733,0.013527884520100971,0.7039785572435181,0.021193995015239796,0.7798404718834967,0.015760828219116202,0.5053133766772225,0.02291814418775972,0.749087584362257,0.02849047665257283,0.6032687145126333,0.02256244817711603,0.7126164655631152,0.01314503944435247,0.5737954192082662,0.020498223639884083
