model,reflete_mudanca,n_seeds,n_rows,mean_pred_bug_proba,std_pred_bug_proba,mean_false_negative_rate,std_false_negative_rate
RandomForest,Não,27,50,0.6330363670501875,0.10751243411049587,0.22839506172839505,0.28173814958564003
RandomForest,Provavelmente não,30,605,0.7365868771430258,0.03539636082380349,0.10339971616769751,0.07281109503874189
RandomForest,Provavelmente sim,30,10389,0.7430354869808352,0.01137892503604552,0.1059947700972836,0.017558865506227903
RandomForest,Sim,30,11370,0.7160620987313087,0.011168758766491238,0.14192433989021636,0.017976849333485166
LogisticRegression,Não,27,50,0.6634827343036629,0.170805765220908,0.48456790123456794,0.36105631843784053
LogisticRegression,Provavelmente não,30,605,0.5639769928189178,0.03525574411429111,0.4285060239316645,0.11857686721216103
LogisticRegression,Provavelmente sim,30,10389,0.6066953749729133,0.010234040996939793,0.2955212265324839,0.026294189134956118
LogisticRegression,Sim,30,11370,0.6072371372358147,0.008098939624450217,0.2960214427564817,0.02119399501523979
