mean_cv_score,std_cv_score,params,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
0.817479992625481,0.01628610350107483,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",,sqrt,4,2,100
0.817479992625481,0.01628610350107483,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",,log2,4,2,100
0.8108183632473798,0.016077306367170526,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",10.0,sqrt,4,10,100
0.8108183632473798,0.016077306367170526,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",10.0,log2,4,10,100
0.8103447876280707,0.011033282706526811,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",10.0,sqrt,1,2,100
0.8103447876280707,0.011033282706526811,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",10.0,log2,1,2,100
0.8102070166955979,0.014417191243151566,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",10.0,sqrt,1,10,100
0.8102070166955979,0.014417191243151566,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",10.0,log2,1,10,100
0.8101216557849146,0.013402892306739264,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",10.0,log2,1,10,200
0.8101216557849146,0.013402892306739264,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",10.0,sqrt,1,10,200
0.8094103003486485,0.014209309097239905,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",10.0,sqrt,1,2,200
0.8094103003486485,0.014209309097239905,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",10.0,log2,1,2,200
0.8091589172722203,0.014278915055934711,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",10.0,sqrt,4,2,100
0.8091589172722203,0.014278915055934711,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",10.0,log2,4,2,100
0.806377872316444,0.017084200172902533,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",10.0,sqrt,4,10,200
0.806377872316444,0.017084200172902533,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",10.0,log2,4,10,200
0.8062131079479486,0.014200319105752611,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",10.0,log2,4,2,200
0.8062131079479486,0.014200319105752611,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",10.0,sqrt,4,2,200
0.7492447324634648,0.016477698541379565,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",3.0,log2,4,2,100
